id,product_type_id,product_page_url,created_at,updated_at,processing_status,processed_at,success,products_found,products_saved,error_message,retry_count,claimed_by,claimed_at
81007,3,https://www.nykaa.com/search/result/?q=Large%20Format%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:14:03.590568+00,true,12,12,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:42.798681+00
81006,2,https://www.nykaa.com/search/result/?q=Photo%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:14:07.580088+00,true,20,20,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:42.70707+00
81009,5,https://www.nykaa.com/search/result/?q=Monochrome%20Laser%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:14:40.622025+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.003062+00
81011,7,https://www.nykaa.com/search/result/?q=Wide%20Format%20Laser%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:15:07.741298+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.273216+00
81012,8,https://www.nykaa.com/search/result/?q=Industrial%20Laser%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:15:22.384767+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.352132+00
81016,12,https://www.nykaa.com/search/result/?q=Scaffolding%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,failed,2025-11-11 18:15:31.683751+00,false,0,0,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.618461+00
81014,10,https://www.nykaa.com/search/result/?q=Stereolithography%20%28SLA%29%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:15:39.434473+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.471871+00
81015,11,https://www.nykaa.com/search/result/?q=Selective%20Laser%20Sintering%20%28SLS%29%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:15:50.177136+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.548719+00
81017,13,https://www.nykaa.com/search/result/?q=Direct%20Thermal%20Label%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:16:11.640082+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.682761+00
81020,16,https://www.nykaa.com/search/result/?q=E-Label%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:16:45.585048+00,true,34,34,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:43.937858+00
81021,17,https://www.nykaa.com/search/result/?q=Standard%20Dot%20Matrix%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:17:00.843364+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.01373+00
81022,18,https://www.nykaa.com/search/result/?q=High-Speed%20Dot%20Matrix%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:17:11.1161+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.074983+00
81023,19,https://www.nykaa.com/search/result/?q=Wide-Format%20Dot%20Matrix%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:17:31.028106+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.159131+00
81025,21,https://www.nykaa.com/search/result/?q=Flatbed%20Plotter%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,failed,2025-11-11 18:17:36.963324+00,false,0,0,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.28474+00
81026,22,https://www.nykaa.com/search/result/?q=Roll-Based%20Plotter%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:18:00.595116+00,true,49,49,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.372706+00
81027,23,https://www.nykaa.com/search/result/?q=Large%20Format%20Plotter%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:18:17.614321+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.435276+00
81029,25,https://www.nykaa.com/search/result/?q=Mobile%20Inkjet%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:18:19.896128+00,true,2,2,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.585853+00
81032,28,https://www.nykaa.com/search/result/?q=Mobile%20Label%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:18:47.032489+00,true,38,38,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.791252+00
81031,27,https://www.nykaa.com/search/result/?q=Mobile%203D%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:19:13.297899+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.716664+00
81033,29,https://www.nykaa.com/search/result/?q=Wireless%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:19:27.482472+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.881321+00
81034,30,https://www.nykaa.com/search/result/?q=All-in-One%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:19:37.933274+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:44.947323+00
81036,32,https://www.nykaa.com/search/result/?q=High-Speed%20Printers,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:20:00.55753+00,true,32,32,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:45.10195+00
81037,33,https://www.nykaa.com/search/result/?q=Lightweight%20Ultraportables,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:20:15.382049+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:45.183052+00
81039,35,https://www.nykaa.com/search/result/?q=Budget%20Ultraportables,2025-11-09 05:57:40.772691+00,2025-11-09 13:55:36.039725+00,completed,2025-11-11 18:20:33.837228+00,true,50,50,,0,DESKTOP-TSL8D4B-24544,2025-11-11 18:13:45.337095+00
